ID,Name,Factory,Input,Output
1,Uranium Waste,0,,83|1
2,Mycelia,0,,24|1
3,Alien Protein,0,,104|1
3,Biomass,0,,28|1
4,Iron Ore,1,,1|30
5,Copper Ore,1,,2|30
6,Caterium Ore,1,,3|30
7,Limestone,1,,4|30
8,Coal,1,,5|30
9,Raw Quartz,1,,6|30
10,Sulfur,1,,7|30
11,Bauxite,1,,8|30
12,Uranium,1,,9|30
13,Crude Oil,2,,35|60
14,Water,3,,34|120
15,Water,4,,34|30
16,Nitrogen Gas,4,,43|30
17,Crude Oil,4,,35|30
18,Iron Ingot,5,1|30,11|30
19,Copper Ingot,5,2|30,12|30
20,Caterium Ingot,5,3|30,13|30
21,Steel Ingot,6,1|45;5|45,14|45
22,Aluminum Ingot,6,22|90;18|75,15|60
23,Compacted Coal,6,5|25;7|25,30|25
24,Organic Data Capsule,7,104|10,112|10
25,Solid Biofuel,7,28|120,29|60
26,Color Cartridge,7,25|37.5,86|75
27,Iron Rebar,7,44|15,89|15
28,Iron Plate,7,11|30,46|20
29,Iron Rod,7,11|15,44|15
30,Screw,7,44|10,45|40
31,Quickwire,7,13|12,51|60
32,Wire,7,12|15,49|30
33,Cable,7,49|60,50|30
34,Copper Sheet,7,12|20,48|10
35,Copper Powder,7,12|300,19|50
36,Concrete,7,4|45,16|15
37,Steel Beam,7,14|60,53|15
38,Steel Pipe,7,14|30,52|20
39,Quartz Crystal,7,6|37.5,17|22.5
40,Silica,7,6|22.5,18|37.5
41,Aluminum Casing,7,15|90,59|60
42,Empty Fluid Tank,7,15|60,102|60
43,Empty Canister,7,31|30,103|60
44,Black Powder,8,5|7.5;7|15,33|7.5
45,Nobelisk,8,33|15;52|30,91|3
46,Fabric,8,24|15;28|75,23|15
47,Reinforced Iron Plate,8,46|30;45|60,47|5
48,Rotor,8,44|20;45|100,62|4
49,Stator,8,52|15;49|40,63|2.5
50,Motor,8,62|10;63|10,64|5
51,Modular Frame,8,47|3;44|12,55|2
52,Encased Industrial Beam,8,53|24;16|30,54|6
53,Alclad Aluminum Sheet,8,15|30;12|10,58|30
54,Heat Sink,8,58|37.5;48|22.5,69|7.5
55,Circuit Board,8,48|15;31|30,60|7.5
56,AI Limiter,8,48|25;51|100,61|5
57,Smart Plating,8,47|2;62|2,92|2
58,Automated Wiring,8,63|2.5;50|50,94|2.5
59,Versatile Framework,8,55|2.5;53|30,93|5
60,Assembly Director System,8,96|1.5;67|0.75,97|0.75
61,Pressure Conversion Cube,8,72|1;68|2,100|1
62,Electromagnetic Control Rod,8,63|6;61|4,76|4
63,Encased Plutonium Cell,8,81|10;16|20,82|5
64,Rifle Ammo,8,48|15;113|10,90|75
65,Homing Rifle Ammo,8,90|50;66|2.5,114|25
66,Stun Rebar,8,89|10;51|50,117|10
67,Shatter Rebar,8,89|10;17|15,118|5
68,Gas Nobelisk,8,91|5;28|50,120|5
69,Pulse Nobelisk,8,91|5;57|1,121|5
70,Cluster Nobelisk,8,91|7.5;113|10,122|2.5
71,Heavy Modular Frame,9,55|10;52|30;54|10;45|200,65|2
72,Computer,9,60|25;50|22.5;31|45;45|130,56|2.5
73,Supercomputer,9,56|3.75;61|375;66|5.625;31|52.5,67|1.875
74,Crystal Oscillator,9,17|18;50|14;47|2.5,57|1
75,Radio Control Unit,9,59|40;57|1.25;56|1.25,68|2.5
76,Turbo Motor,9,74|7.5;68|3.75;64|7.5;32|45,71|1.875
77,High-Speed Connector,9,51|210;50|37.5;60|3.75,66|3.75
78,Modular Engine,9,64|2;32|15;92|2,95|1
79,Adaptive Control Unit,9,94|7.5;60|5;65|1;56|1,96|1
80,Magnetic Field Generator,9,93|2.5;76|1;70|5,98|1
81,Thermal Propulsion Rocket,9,95|2.5;71|1;74|3;72|1,99|1
82,Plutonium Fuel Rod,9,82|7.5;53|4.5;76|1.5;69|2.5,79|0.25
83,Uranium Fuel Rod,9,77|20;54|1.2;76|2,78|0.4
84,Beacon,9,46|22.5;44|7.5;49|112.5;50|15,85|7.5
85,Gas Filter,9,5|37.5;32|15;23|15,87|7.5
86,Iodine Infused Filter,9,87|3.75;51|30;59|3.75,88|3.75
87,Explosive Rebar,9,89|10;113|10;52|10,119|5
88,Nuke Nobelisk,9,91|2.5;77|10;113|5;61|3,123|0.5
89,Plutonium Pellet,10,80|100;83|25,81|30
90,Nuclear Pasts,10,19|100;100|0.5,101|0.5
